id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
1,Merri Cafe,Cafe,Organic Cafe,"Organic cafe serving locally roasted organic coffee, cakes, sandwiches and salads using organic, local, seasonal produce from CERES gardens and partner farms","Corner of Roberts & Stewart Streets",Brunswick East,Melbourne,Victoria,3057,,,"+61 3 9389 0100","info@ceres.org.au","https://ceres.org.au","https://www.facebook.com/CERESMerriCafe","Coffee; Baked goods; Sandwiches; Salads","organic; local; seasonal",,Retailer,"Part of CERES environmental centre","https://ceres.org.au","2025-12-09"
2,Seedling Cafe,Cafe,Health Cafe,"Whole-food cafe with ethically sourced produce, free-range eggs and bacon, and grass-fed beef; 100% gluten-free menu.","275 Flinders Lane",Melbourne,Melbourne,Victoria,3000,,,"+61 401 681 139","seedlingcafeau@gmail.com","https://seedlingcafe.com.au","https://www.instagram.com/seedling_au | https://www.facebook.com/seedlingcafeau","Coffee; Breakfast; Brunch; Salads","free-range; grass-fed; ethical sourcing",,Retailer,,"https://seedlingcafe.com.au","2025-12-09"
3,Combi,Cafe,Vegan Cafe,"Organic raw vegan cafe serving cakes, treats, smoothies and fair-trade coffee with organic ingredients.","138-140 Ormond Road",Elwood,Melbourne,Victoria,3184,,,"+61 431 862 139","manager@combielwood.com.au","https://combielwood.com.au","https://www.facebook.com/combi.elwood | https://www.instagram.com/combielwood","Smoothies; Raw cakes; Toasties; Acai bowls; Coffee","organic; raw; vegan; gluten-free",,Retailer,,"https://combielwood.com.au","2025-12-09"
4,Mesa Verde,Restaurant,Mexican Restaurant,"Mexican restaurant using seasonal, local produce and herbs from its rooftop garden.","Level 6, Curtin House, 252 Swanston Street",Melbourne,Melbourne,Victoria,3000,,,"+61 3 9654 4417","hello@mesaverde.net.au","https://mesaverde.net.au","https://www.facebook.com/MesaVerdeMelb | https://www.instagram.com/mesaverdemelb","Mexican dishes; Tacos; Tequila cocktails","seasonal; local; rooftop garden; composting",,Retailer,,"https://mesaverde.net.au","2025-12-09"
5,Cassette,Cafe,Zero Waste Cafe,"Sustainability-focused cafe with seasonal local-produce menu and on-site composting of kitchen waste.","399 Macaulay Road",Kensington,Melbourne,Victoria,3031,,,"+61 3 9070 0999","",https://cassettekensington.com,"https://www.instagram.com/cassettekensington","Coffee; Brunch; Juice; Snacks","local; seasonal; zero-waste; composting",,Retailer,"Operated by Assemble Communities","https://cassettekensington.com","2025-12-09"
6,Friends of the Earth Food Co-op & Cafe,Cafe,Organic Vegan Cafe,"Volunteer-run cafe serving 100% organic, vegan and gluten-free lunch bowls, pies and pizzas using daily organic produce.","312 Smith Street",Collingwood,Melbourne,Victoria,3066,,,"+61 3 9417 4382","food@foe.org.au","https://foefood.org","https://www.facebook.com/foecafe | https://www.instagram.com/foecafe","Lunch bowls; Pies; Pizza; Coffee; Groceries","organic; vegan; gluten-free; composting",,Retailer,"Part of Friends of the Earth Co-op","https://foefood.org","2025-12-09"
7,Walk Don't Run,Cafe,Organic Cafe,"Armadale cafe with a mindful gourmet approach using 100% organic, locally sourced ingredients.","17 Morey Street",Armadale,Melbourne,Victoria,3143,,,"+61 3 9500 0823","",https://walkdontrun.com.au,"","Brunch dishes; Smoothies; Coffee; Toast","organic; local",,Retailer,,"https://walkdontrun.com.au","2025-12-09"
8,Ten Minutes by Tractor,Restaurant,Winery Restaurant,"Mornington Peninsula winery restaurant sourcing key ingredients from its own regenerative farm (10X Farm) and local producers.","1333 Mornington-Flinders Road",Main Ridge,Mornington Peninsula,Victoria,3928,,,"+61 3 5989 6455","",https://tenminutesbytractor.com.au,"","Seasonal tasting menu; Fine wine pairing","regenerative; seasonal; organic; farm-to-table",,Retailer,,"https://tenminutesbytractor.com.au","2025-12-09"
9,Wild About Wellbeing Farm,Restaurant,Organic Farm Restaurant,"Organic farm-based restaurant in the Yarra Valley using chemical-free produce and honoring the seasonal regional food wheel.","38-40 Hunter Road",Wandin North,Yarra Valley,Victoria,3139,,,"+61 493 664 838","hello@wildaboutwellbeing.au","https://wildaboutwellbeing.au","https://www.facebook.com/wildaboutwellbeingfarm | https://www.instagram.com/wildaboutwellbeingfarm","Woodfired pizza; Seasonal dishes; Gelato","organic; seasonal; farm-to-table; biodynamic",,Retailer,,"https://wildaboutwellbeing.au","2025-12-09"
10,O.MY Restaurant,Restaurant,Farm-to-table Restaurant,"Fine dining restaurant sourcing nearly all produce from its own organic farm, with pickling/preserving to minimise waste.","70 Princes Highway",Beaconsfield,Melbourne,Victoria,3807,,,"+61 3 9769 9000","info@omyrestaurant.com.au","https://omyrestaurant.com.au","",Tasting menu; Sourdough; Coffee; Wine,"farm-to-table; organic; no-waste; local produce",,Retailer,,"https://omyrestaurant.com.au","2025-12-09"
