id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
1,Farm & Co,Restaurant,Farm-to-Table,"Seasonal farm-to-table restaurant on-site at Farm & Co, using organic produce picked daily.",529 Cudgen Rd,Cudgen,Tweed Heads,New South Wales,2487,,,"02 6608 0010",michele@farmandco.com.au,https://farmandco.com.au,,"Breakfast; Lunch; Coffee","organic produce; seasonal; local",,Retailer,,"https://www.farmandco.com.au/","2025-12-09"
2,Minori Pantry,Cafe,Wholefoods,"Wholefoods café serving organic coffee and wholefood meals with local dairy.",82 Summerland Way,Kyogle,Kyogle,New South Wales,2474,,,"0456 359 090",orders@minoripantry.com.au,https://minoripantry.com.au,,"Breakfast; Lunch; Coffee","organic coffee; local dairy",,Retailer,,"https://minoripantry.com.au/","2025-12-09"
3,Three Blue Ducks (The Farm Byron Bay),Restaurant,Farm-to-Table,"Farm restaurant emphasising organic or spray-free produce and local seasonal ingredients.",11 Ewingsdale Road,Ewingsdale,Byron Bay,New South Wales,2481,,,"(02) 6190 8966",enquiries@threeblueducks.com,https://threeblueducks.com,,"Breakfast; Lunch; Brunch","organic produce; spray-free; sustainable; local",,Retailer,,"https://thefarm.com.au/threeblueducks","2025-12-09"
4,Byron Fresh Cafe,Cafe,Organic Cafe,"Cafe using fresh ingredients including organic, free-range eggs.",7 Jonson St,Byron Bay,Byron Bay,New South Wales,2481,,,"02 6685 7810",,https://byronfresh.com.au,,"Breakfast; Lunch","organic eggs; free-range eggs",,Retailer,,"https://www.brokenheadholidaypark.com.au/activities-things-to-do/byron-fresh/","2025-12-09"
5,Frida's Field,Restaurant,Regenerative Farm Restaurant,"120-acre regenerative farm restaurant using produce from its own market garden and local farms.",76 Booyong Rd,Nashua,Byron Bay,New South Wales,2479,,,,,https://fridasfield.com,,"Lunch","regenerative; seasonal; local",,Retailer,,"https://www.fridasfield.com/","2025-12-09"
6,Coffee & Kitchen,Cafe,Local Cafe,"Casual cafe focusing on fresh, locally sourced ingredients and seasonal dishes.",75-77 River St,Ballina,Ballina,New South Wales,2478,,,"02 6686 5843",hello@coffeeandkitchen.com.au,https://coffeeandkitchen.com.au,,"Breakfast; Lunch; Coffee","local produce; seasonal",,Retailer,,"https://www.coffeeandkitchen.com.au/","2025-12-09"
7,Clarence Kitchen Collective,Cafe,Wholefoods Cafe,"Community wholefoods cafe offering nourishing meals with seasonal and local produce.",50 Skinner St,South Grafton,Grafton,New South Wales,2460,,,"0438 187 168",,https://clarencecollective.com.au,,"Breakfast; Lunch; Coffee","local produce; seasonal",,Retailer,,"https://www.myclarencevalley.com/operators/the-clarence-kitchen-collective/","2025-12-09"
8,Rudy's Real Food,Cafe,Organic Cafe,"Organic health cafe using only organic ingredients and nutrient-dense dishes.",2932 Gold Coast Hwy,Surfers Paradise,Gold Coast,Queensland,4217,,,"1300 174 832",,https://www.rudys.space,,"Breakfast; Lunch","organic ingredients; chemical-free; grass-fed",,Retailer,,"https://www.rudys.space/my-story","2025-12-09"
9,BSKT Cafe,Cafe,Health Cafe,"Beachside health cafe using organic açaí and free-range eggs.",4 Lavarack Rd,Mermaid Beach,Gold Coast,Queensland,4218,,,"07 5526 6565",hello@bskt.com.au,https://bskt.com.au,,"Breakfast; Brunch","free-range eggs; organic açaí; local",,Retailer,,"https://bskt.com.au/","2025-12-09"
10,Stable at Cornerstone,Cafe,Breakfast & Lunch Cafe,"Cafe at Cornerstone Stores sourcing ethical meats and local produce (e.g., organic beef brisket tacos).",570 Gold Coast Highway,Tugun,Gold Coast,Queensland,4224,,,,hello@stableatcornerstone.com,https://stableatcornerstone.com,,"Breakfast; Lunch; Coffee","ethical meat; organic beef; local produce",,Retailer,,"https://cornerstonestores.com/pages/stable-coffee-kitchen","2025-12-09"
11,Cheek Cafe,Cafe,Brunch Cafe,"Brunch cafe using pasture-raised eggs and grass-fed beef from local farmers.",412/1 Como Crescent,Southport,Gold Coast,Queensland,4215,,,"07 5535 2959",,,,,"Breakfast; Brunch","pasture-raised eggs; grass-fed beef; local produce",,Retailer,,"https://insidegoldcoast.com.au/cheek-cafe-southport","2025-12-09"
12,Commune Cafe,Cafe,Organic Cafe,"Organic-focused cafe in Burleigh Heads highlighting organic produce.",1844 Gold Coast Hwy,Burleigh Heads,Gold Coast,Queensland,4220,,,,,,"","Coffee; Brunch; Lunch","organic produce; local",,Retailer,,"https://www.australia.com/en-us/places/gold-coast-and-surrounds/best-coffee-shops.html","2025-12-09"
13,Freeman's Organic Farm,Farm / Cafe,Organic Farm,"Family-run certified organic farm with farm stall and cafe.",618 Tomewin Mountain Road,Currumbin Valley,Gold Coast,Queensland,4223,,,"0438 777 763",davidgowerfreeman@icloud.com,https://freemansorganicfarm.org,,"Produce; Cafe","organic produce; biodynamic; pasture-raised","Certified Organic",Producer,"Closed Sep–Dec 2025 for new cafe construction","https://www.freemansorganicfarm.org/contact/","2025-12-09"
14,Wholefood Pantry Palm Beach,Cafe,Organic Cafe,"Organic cafe and grocery using only certified organic ingredients in all dishes.",Shop 23 Nineteenth Avenue S/C,Palm Beach,Gold Coast,Queensland,4221,,,"07 5576 7111",shop@twppalmbeach.com.au,https://twppalmbeach.com.au,,"Breakfast; Lunch; Coffee","certified organic ingredients","Certified Organic",Retailer,,"https://twppalmbeach.com.au/cafe/","2025-12-09"
15,Sippy Tom,Cafe,Brunch Cafe,"Cafe in Teneriffe featuring organic, pasture-raised eggs and line-caught tuna.",Winchcombe Carson Woolstores, 54 Vernon Terrace,Teneriffe,Brisbane,Queensland,4005,,,"(07) 3252 0179",,https://sippytom.com.au,,"Brunch; Coffee; Lunch","organic eggs; pasture-raised; line-caught tuna; local",,Retailer,,"https://www.sippytom.com/menu/","2025-12-09"
16,Putia Pure Food Kitchen,Restaurant,Health Cafe,"Cafe-kitchen sourcing local produce, supporting free-range farms and organic where possible.",17 Royal Parade,Banyo,Brisbane,Queensland,4014,,,"07 3267 6654",,https://putiapurefood.com.au,,"Breakfast; Lunch; Coffee","free-range; sustainable; organic",,Retailer,,"https://putiapurefood.com.au/","2025-12-09"
